model_name,temperature,max_tokens,prompt,answer,run_index
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,0
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,1
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,2
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,3
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,4
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,5
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,6
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",4,7
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,8
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,9
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,10
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,11
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,12
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,13
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",4,14
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,15
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",2,16
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5","2

(Note : Il est généralement recommand",17
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",4,18
llama-3.1-8b-instant,0.8,10,"Sur une échelle de 1 (absolument non) à 5 (absolument oui), faut-il nécessairement manger avant d'aller courir le matin ? Répond uniquement par 1, 2, 3, 4, ou 5",3,19
